Lap Nr,Roi1,x,y,w,h,Roi2,x,y,w,h,Roi3,x,y,w,h,Roi4,x,y,w,h
800,,8,6,17,55,,13,7,15,46,,13,9,14,61,,9,27,17,32
1600,,8,6,17,55,,13,7,16,46,,13,9,14,61,,10,14,16,45
2400,,6,12,16,49,,11,15,14,45,,9,15,15,59,,6,18,16,44
3200,,6,13,16,48,,11,15,14,45,,9,15,15,59,,6,18,16,44
4000,,6,26,16,35,,10,14,15,46,,9,15,15,59,,6,18,16,44
4800,,4,22,16,39,,7,21,16,44,,7,21,14,53,,4,22,16,45
5600,,4,22,16,39,,7,21,16,44,,7,21,14,53,,4,22,16,45
6400,,4,22,16,39,,7,21,16,44,,7,21,14,53,,3,22,17,45
7200,,4,22,16,39,,7,21,16,44,,7,21,14,53,,3,22,17,45
8000,,4,22,16,39,,7,21,16,44,,6,21,15,53,,4,22,16,45
8800,,4,22,16,39,,7,21,16,44,,7,21,14,53,,4,22,16,45
9600,,4,22,16,39,,7,21,16,44,,7,21,14,53,,4,22,16,45
10400,,3,22,17,39,,7,21,16,44,,7,21,14,53,,4,22,16,45
11200,,3,22,17,39,,7,21,16,44,,7,21,14,53,,3,22,17,45
12000,,4,22,16,39,,7,22,16,43,,3,12,26,62,,3,22,17,45
12800,,4,22,16,39,,7,21,16,44,,7,21,14,53,,4,22,16,45
13600,,4,22,16,39,,7,22,16,43,,7,21,14,53,,4,22,16,45
14400,,3,22,17,39,,7,22,16,43,,7,21,14,53,,4,22,15,45
15200,,3,22,17,39,,7,23,16,42,,7,21,14,53,,3,22,16,46
16000,,3,22,17,39,,7,23,16,42,,7,21,14,53,,4,30,16,38
16800,,2,24,17,37,,7,25,15,40,,5,23,16,51,,2,24,16,45
17600,,2,24,17,37,,7,25,15,40,,5,23,16,51,,2,24,16,45
18400,,2,24,16,37,,7,16,17,49,,5,23,16,51,,2,24,16,45
19200,,2,24,16,37,,7,24,15,41,,5,23,16,51,,2,24,16,45
20000,,2,24,17,37,,7,25,15,40,,5,23,16,51,,2,24,16,45
20800,,2,24,17,37,,7,25,15,40,,5,23,16,51,,2,24,16,45
21600,,2,24,17,37,,7,25,15,40,,5,23,16,51,,2,24,16,45
22400,,2,24,16,37,,7,25,15,40,,5,17,24,57,,2,24,16,45
23200,,2,24,16,37,,7,25,15,40,,5,23,16,51,,2,24,16,45
24000,,2,24,17,37,,7,24,15,41,,5,23,16,51,,2,24,16,45
24800,,2,24,17,37,,7,24,15,41,,5,23,16,51,,2,24,16,45
25600,,2,25,17,36,,7,25,14,40,,5,23,16,51,,2,24,16,45
26400,,2,24,17,37,,7,25,15,40,,5,23,16,51,,2,16,20,53
27200,,2,24,16,37,,7,25,14,40,,5,23,16,51,,2,24,16,45
28000,,2,24,16,37,,7,25,14,40,,5,23,16,51,,2,24,16,45
28800,,2,24,16,37,,7,25,15,40,,5,23,16,51,,2,24,16,45
29600,,2,24,16,37,,7,24,15,41,,5,23,16,51,,2,24,16,45
30400,,2,24,17,37,,7,25,15,40,,5,23,16,51,,2,24,16,45
31200,,2,24,17,37,,7,25,15,40,,5,23,16,51,,2,24,16,45
32000,,2,24,17,37,,7,25,15,40,,5,23,16,51,,2,24,16,45
32800,,2,24,16,37,,7,25,14,40,,5,23,16,51,,2,24,16,45
33600,,2,24,16,37,,7,35,15,30,,5,23,16,51,,2,24,16,45
34400,,2,25,16,36,,7,24,15,41,,5,23,16,51,,2,24,16,45
35200,,2,24,17,37,,7,25,15,40,,5,23,16,51,,2,24,16,45
36000,,2,24,17,37,,7,25,15,40,,5,23,16,51,,2,24,16,45
36800,,2,24,17,37,,7,25,15,40,,5,23,16,51,,2,24,16,45
37600,,2,24,16,37,,7,25,14,40,,1,22,26,52,,2,24,16,45
38400,,2,24,16,37,,7,25,15,40,,5,23,16,51,,2,24,16,45
39200,,2,24,16,37,,7,24,15,41,,5,23,16,51,,2,24,16,45
40000,,2,25,17,36,,7,25,15,40,,5,23,16,51,,2,24,16,45
40800,,2,25,16,36,,7,25,14,40,,5,23,16,51,,2,24,16,45
41600,,2,24,17,37,,7,25,15,40,,5,23,16,51,,3,37,17,32
42400,,2,24,16,37,,7,25,15,40,,5,23,16,51,,2,24,16,45
43200,,2,25,17,36,,7,25,15,40,,5,23,16,51,,2,24,16,45
44000,,2,25,17,36,,7,25,15,40,,5,23,16,51,,2,24,16,45
44800,,2,38,17,23,,7,24,15,41,,5,23,16,51,,2,24,16,45
45600,,2,25,17,36,,7,25,15,40,,5,23,16,51,,2,24,16,45
46400,,2,25,17,36,,7,25,15,40,,5,23,16,51,,2,24,16,45
47200,,2,25,17,36,,7,25,15,40,,5,23,16,51,,2,24,16,45
